id,Hardness
10407,3.478
10408,4.836
10409,5.284
10410,5.276
10411,5.095
10412,4.641
10413,4.384
10414,5.569
10415,4.358
10416,4.529
10417,4.261
10418,4.47
10419,5.391
10420,4.489
10421,5.243
10422,4.865
10423,5.288
10424,5.001
10425,5.095
10426,4.984
10427,3.449
10428,4.989
10429,4.83
10430,3.874
10431,3.853
10432,4.977
10433,5.768
10434,4.696
10435,5.429
10436,5.199
10437,5.356
10438,5.356
10439,5.348
10440,4.367
10441,4.013
10442,3.866
10443,2.149
10444,4.638
10445,4.925
10446,4.255
10447,5.314
10448,5.258
10449,5.127
10450,5.263
10451,4.905
10452,4.277
10453,5.382
10454,5.369
10455,3.422
10456,3.658
10457,2.57
10458,5.422
10459,4.889
10460,4.308
10461,5.162
10462,5.168
10463,5.391
10464,5.343
10465,4.077
10466,5.178
10467,5.404
10468,2.345
10469,5.254
10470,4.565
10471,5.326
10472,1.375
10473,5.211
10474,4.841
10475,5.334
10476,4.688
10477,5.315
10478,4.622
10479,4.471
10480,4.197
10481,3.976
10482,5.233
10483,5.274
10484,1.243
10485,4.307
10486,5.096
10487,2.82
10488,5.124
10489,4.28
10490,5.053
10491,5.061
10492,5.496
10493,2.678
10494,4.388
10495,4.167
10496,4.353
10497,5.143
10498,5.047
10499,5.308
10500,4.644
10501,2.603
10502,5.203
10503,4.733
10504,5.23
10505,4.857
10506,4.105
10507,5.406
10508,4.428
10509,3.597
10510,4.468
10511,4.234
10512,5.193
10513,5.622
10514,4.131
10515,2.509
10516,4.662
10517,5.477
10518,4.796
10519,5.239
10520,4.862
10521,5.097
10522,4.831
10523,4.61
10524,4.193
10525,4.681
10526,3.202
10527,4.946
10528,5.166
10529,4.826
10530,2.397
10531,5.31
10532,5.245
10533,4.95
10534,5.386
10535,5.289
10536,5.357
10537,4.835
10538,5.35
10539,5.131
10540,3.482
10541,2.927
10542,3.914
10543,4.727
10544,5.357
10545,4.676
10546,4.968
10547,5.236
10548,4.761
10549,4.483
10550,4.683
10551,4.859
10552,5.245
10553,5.376
10554,4.558
10555,4.842
10556,4.742
10557,5.375
10558,4.916
10559,4.04
10560,3.794
10561,5.11
10562,5.237
10563,3.831
10564,4.08
10565,5.456
10566,4.115
10567,4.529
10568,4.163
10569,5.347
10570,4.784
10571,5.036
10572,5.119
10573,4.75
10574,3.508
10575,5.332
10576,4.012
10577,3.163
10578,5.175
10579,5.286
10580,4.031
10581,5.241
10582,4.168
10583,3.506
10584,5.387
10585,2.271
10586,5.33
10587,5.459
10588,4.277
10589,5.511
10590,4.022
10591,5.237
10592,4.561
10593,4.823
10594,5.323
10595,5.26
10596,4.45
10597,5.366
10598,4.987
10599,5.079
10600,3.642
10601,4.577
10602,3.333
10603,4.95
10604,5.079
10605,5.327
10606,3.197
10607,5.213
10608,4.949
10609,5.434
10610,5.213
10611,4.773
10612,5.014
10613,5.145
10614,4.966
10615,5.277
10616,5.286
10617,5.306
10618,2.284
10619,5.358
10620,5.015
10621,4.468
10622,4.589
10623,5.339
10624,4.845
10625,5.275
10626,5.593
10627,5.052
10628,5.204
10629,5.432
10630,3.139
10631,5.475
10632,5.367
10633,2.536
10634,4.726
10635,4.6
10636,5.258
10637,3.969
10638,2.214
10639,5.239
10640,5.291
10641,4.915
10642,3.816
10643,3.227
10644,4.358
10645,5.075
10646,4.348
10647,5.111
10648,5.025
10649,4.867
10650,3.946
10651,4.633
10652,5.397
10653,5.157
10654,4.048
10655,4.782
10656,5.082
10657,4.255
10658,5.171
10659,5.31
10660,3.927
10661,5.224
10662,4.241
10663,5.317
10664,4.161
10665,5.321
10666,5.253
10667,5.277
10668,5.314
10669,4.37
10670,4.56
10671,5.357
10672,2.26
10673,4.205
10674,5.549
10675,5.153
10676,3.328
10677,2.553
10678,4.029
10679,3.641
10680,5.258
10681,4.465
10682,4.528
10683,4.382
10684,3.167
10685,5.191
10686,5.764
10687,4.852
10688,5.382
10689,4.478
10690,5.282
10691,5.034
10692,4.754
10693,5.278
10694,5.146
10695,4.448
10696,5.178
10697,4.875
10698,4.721
10699,1.331
10700,4.842
10701,5.072
10702,5.358
10703,5.206
10704,2.505
10705,4.904
10706,5.469
10707,5.124
10708,4.069
10709,3.521
10710,4.276
10711,4.669
10712,5.396
10713,2.316
10714,1.184
10715,4.891
10716,5.108
10717,5.47
10718,5.157
10719,5.232
10720,5.219
10721,5.002
10722,2.388
10723,3.622
10724,5.49
10725,3.194
10726,2.62
10727,5.136
10728,3.914
10729,5.95
10730,5.26
10731,4.803
10732,3.382
10733,3.139
10734,5.192
10735,5.086
10736,5.238
10737,4.674
10738,5.519
10739,3.465
10740,2.994
10741,4.825
10742,4.105
10743,4.38
10744,4.236
10745,5.175
10746,5.016
10747,3.916
10748,5.401
10749,4.588
10750,4.583
10751,5.085
10752,4.466
10753,4.774
10754,5.331
10755,5.332
10756,4.427
10757,3.94
10758,4.943
10759,4.416
10760,5.435
10761,5.149
10762,5.283
10763,5.102
10764,5.149
10765,3.473
10766,5.272
10767,4.421
10768,5.195
10769,4.996
10770,5.176
10771,1.899
10772,5.479
10773,3.747
10774,4.578
10775,5
10776,4.7
10777,3.183
10778,4.79
10779,5.125
10780,5.134
10781,4.369
10782,5.45
10783,3.724
10784,5.174
10785,5.255
10786,5.318
10787,5.321
10788,5.263
10789,5.158
10790,3.722
10791,5.095
10792,5.242
10793,4.525
10794,5.099
10795,5.274
10796,5.304
10797,5.298
10798,5.338
10799,4.961
10800,4.175
10801,5.275
10802,5.43
10803,5.321
10804,5.152
10805,5.221
10806,5.394
10807,5.125
10808,2.664
10809,2.084
10810,4.944
10811,4.421
10812,4.604
10813,4.998
10814,4.965
10815,2.682
10816,5.328
10817,4.711
10818,4.606
10819,5.267
10820,5.203
10821,2.398
10822,2.735
10823,5.247
10824,5.136
10825,5.295
10826,4.065
10827,4.851
10828,3.198
10829,5.129
10830,5.605
10831,5.308
10832,5.227
10833,5.086
10834,5.266
10835,4.555
10836,5.186
10837,4.418
10838,4.769
10839,4.715
10840,5.129
10841,5.305
10842,5.102
10843,3.373
10844,3.835
10845,4.346
10846,5.292
10847,5.124
10848,4.572
10849,5.262
10850,5.264
10851,3.573
10852,4.673
10853,4.374
10854,4.521
10855,4.575
10856,5.082
10857,5.078
10858,5.383
10859,5.412
10860,5.456
10861,5.033
10862,4.769
10863,3.252
10864,5.285
10865,5.289
10866,5.417
10867,3.226
10868,4.363
10869,4.797
10870,5.232
10871,5.222
10872,4.264
10873,4.53
10874,5.374
10875,5.402
10876,4.996
10877,4.688
10878,5.392
10879,5.268
10880,3.808
10881,5.45
10882,3.925
10883,4.677
10884,3.341
10885,5.335
10886,2.614
10887,3.952
10888,5.315
10889,5.26
10890,4.882
